Gender,bodyFrame_Breadth,skin_Nature,skin_Color,weight_Changes,nails_color,teeth_Color,teeth_Shape,recalling_speed,memorizing_speed,sleep_Amount,sleep_Quality,speaking_Amount,speaking_Speed,walking_Speed,bowel_Freq,retainingFriends_quality,dreams_Amount,voice_clear,eye_Color,healthproblem_in_temp,hair_Growth,hair_Type,hair_Nature2,appetite_Amount,appetite_Frequency,bladder_Frequency,perspiration_Amount,stool_Consistency,mental_Power,physical_Power,Anger_Freq,Irritability_speed,speech_Argumentative,class
Male,Broad,Normal,Dark,Gaineasilyandlosewithdifficulty,Reddish,Dull/Blackish,Irregular,Quickly,Quickly,Medium,Deep,Less,Slow,Medium,Regular,Good,Medium,Clear,Black,None,Moderate,Thin,Non_Falling,Medium,Regular,Regular,Low,Medium,Grade2,Grade2,Medium,Slowly,Non_Argumentative,Kapha
Male,Broad,Oily,Whitish,Gaineasilyandlosewithdifficulty,Pink,MilkyWhite,Regular,Quickly,Quickly,High,Deep,Less,Medium,Medium,Regular,Medium,Medium,Clear,Black,Warm,Dense,Thick,Non_Falling,Medium,Regular,Regular,Medium,Medium,Grade3,Grade3,Medium,Slowly,Non_Argumentative,Kapha
Male,Medium,Oily,FairPaleYellow,Gainandloseeasily,Reddish,Yellowish,Regular,Quickly,Quickly,Medium,Sound,Moderate,Medium,Medium,Regular,Medium,Medium,Clear,DarkBrown,Warm,Moderate,Thin,Non_Falling,Medium,Regular,Regular,Medium,Medium,Grade2,Grade2,Good,Slowly,Non_Argumentative,Pitta
Male,Medium,Normal,FairPink,Gaineasilyandlosewithdifficulty,Pink,MilkyWhite,Regular,Moderately,Quickly,High,Deep,Moderate,Medium,Medium,Regular,Medium,Low,Clear,Black,Cold,Moderate,Thin,Non_Falling,Medium,Regular,Regular,Medium,Medium,Grade3,Grade3,Medium,Slowly,Non_Argumentative,Kapha
Male,Broad,Normal,Dark,Gaineasilyandlosewithdifficulty,PaleYellow,Yellowish,Regular,Moderately,Slowly,Medium,Sound,Less,Medium,Medium,Regular,Medium,Medium,Non_Clear,Black,Cold,Moderate,Thick,Non_Falling,Medium,Regular,Regular,Low,Medium,Grade2,Grade2,Medium,Moderately,Non_Argumentative,Kapha
Male,Broad,Normal,FairPink,Gainandloseeasily,Pink,MilkyWhite,Regular,Moderately,Quickly,Medium,Sound,Moderate,Medium,Slow,Regular,Good,Variable,Clear,Black,None,Moderate,Thin,Non_Falling,Medium,Regular,Regular,Medium,Medium,Grade3,Grade3,Medium,Slowly,Non_Argumentative,Kapha
Male,Broad,Normal,Whitish,Gaineasilyandlosewithdifficulty,Reddish,Yellowish,Regular,Quickly,Quickly,Medium,Sound,Moderate,Medium,Medium,Regular,Medium,Low,Clear,DarkBrown,Warm,Moderate,Thick,Non_Falling,High,Regular,Regular,Medium,Medium,Grade2,Grade2,Good,Slowly,Non_Argumentative,Kapha
Male,Broad,Normal,Dark,Gaineasilyandlosewithdifficulty,Pink,MilkyWhite,Regular,Moderately,Moderately,High,Deep,Less,Slow,Medium,Regular,Medium,Low,Clear,Black,Cold,Moderate,Thick,Non_Falling,Medium,Regular,Regular,Low,Medium,Grade2,Grade2,Medium,Moderately,Non_Argumentative,Kapha
Male,Medium,Oily,Whitish,Stable,PaleYellow,MilkyWhite,Regular,Moderately,Moderately,Medium,Deep,Less,Medium,Medium,Regular,Medium,Low,Clear,Black,Warm,Dense,Thick,Non_Falling,Medium,Regular,Regular,Low,Medium,Grade3,Grade3,Medium,Slowly,Non_Argumentative,Kapha
Male,Medium,Oily,Dark,Gainandloseeasily,Reddish,Yellowish,Regular,Moderately,Moderately,Medium,Sound,Moderate,Medium,Quick/Fast/Brisk,Regular,Good,Medium,Clear,LightBrown,Warm,Scanty,Thin,Falling,High,Regular,Regular,High,Medium,Grade1,Grade2,Medium,Moderately,Non_Argumentative,Pitta
